title,year,genre,country,url,poster-path
"Harvey Middleman, Fireman",1965,Comedy,USA,https://rarefilmm.com/2022/05/harvey-middleman-fireman-1965/,https://rarefilmm.com/wp-content/uploads/2022/05/harveymiddleman.jpg
Pilotinnen,1995,Drama,GERMANY,https://rarefilmm.com/2022/05/pilotinnen-1995/,https://rarefilmm.com/wp-content/uploads/2022/05/pilotinenn.jpg
Dear Mr. Wonderful,1982,Drama,WEST,https://rarefilmm.com/2022/05/dear-mr-wonderful-1982/,https://rarefilmm.com/wp-content/uploads/2022/05/dearmrwonderful.jpg
The Bolshoi Ballet,1957,Musical,UK,https://rarefilmm.com/2022/05/the-bolshoi-ballet-1957/,https://rarefilmm.com/wp-content/uploads/2022/05/bolshoi.jpg
Dorothea’s Rache,1974,Cult,FRANCE,https://rarefilmm.com/2022/05/dorotheas-rache-1974/,https://rarefilmm.com/wp-content/uploads/2022/05/dorothea.jpg
Kanojo to kare,1963,Drama,JAPAN,https://rarefilmm.com/2022/05/kanojo-to-kare-1963/,https://rarefilmm.com/wp-content/uploads/2022/05/sheandhee.jpg
For Ladies Only,1981,TV Movie,USA,https://rarefilmm.com/2022/05/for-ladies-only-1981/,https://rarefilmm.com/wp-content/uploads/2022/04/forladies.jpg
Foster & Laurie,1975,TV Movie,USA,https://rarefilmm.com/2022/04/foster-laurie-1975/,https://rarefilmm.com/wp-content/uploads/2022/04/fosterlaurie3.jpg
Specijalno vaspitanje,1977,Drama,YUGOSLAVIA,https://rarefilmm.com/2022/04/specijalno-vaspitanje-1977/,https://rarefilmm.com/wp-content/uploads/2022/04/Specijalno-vaspitanje2.jpg
Mille bolle blu,1993,Comedy,ITALY,https://rarefilmm.com/2022/04/mille-bolle-blu-1993/,https://rarefilmm.com/wp-content/uploads/2022/04/Mille-bolle-blu.jpg
Bástyasétány hetvennégy,1974,Drama,HUNGARY,https://rarefilmm.com/2022/04/bastyasetany-hetvennegy-1974/,https://rarefilmm.com/wp-content/uploads/2022/04/Bástyasétány-hetvennégy.jpg
City Out of Wilderness,1974,Documentary,USA,https://rarefilmm.com/2022/04/city-out-of-wilderness-1974/,https://rarefilmm.com/wp-content/uploads/2022/04/cityout.jpg
Swiss Family Robinson: Lost in the Jungle,1958,Adventure,USA,https://rarefilmm.com/2022/04/swiss-family-robinson-lost-in-the-jungle-1958/,https://rarefilmm.com/wp-content/uploads/2022/04/swissfamily1.jpg
Image of Death,1978,Thriller,AUSTRALIA,https://rarefilmm.com/2022/04/image-of-death-1978/,https://rarefilmm.com/wp-content/uploads/2022/04/imageofdeath2.jpg
