title,year,genre,country
Life with the Lyons,1954,Comedy,UK
Anna,1987,Drama,USA
Last of the Buccaneers,1950,Action,USA
Hurricane,1979,Adventure,NETHERLANDS
Handy Andy,1934,Comedy,USA
Henry Aldrich for President,1941,Comedy,USA
"Mobutu, roi du Zaïre",1999,Documentary,BELGIUM
Doch solntsa,1963,Animation,SOVIET
Ponzio Pilato (1962) [Engli,1962,Peplum,FRANCE
Nattlek,1966,Drama,SWEDEN
The Cowboy and the Ballerina,1984,TV Movie,USA
Martin Fierro,1968,Epic,ARGENTINA
Stop Press Girl,1949,Comedy,UK
Il potere,1971,Drama,ITALY
Badlands of Montana,1957,Western,USA
Lumière,1976,Drama,FRANCE
Prokletí domu Hajnù,1989,Horror,CZECHOSLOVAKIA
The Mighty,1929,Action,USA
Chat yuet sap sei,1993,Action,HONG
Antonio,1973,Comedy,CHILE
Falling In Love Again,1980,Comedy,USA
Train Ride,2005,Thriller,USA
La famiglia (1987) [Extend,1987,Drama,ITALY
Hysterical,1983,Comedy,USA
Licensed to Love and Kill,1979,Action,UK
Fourteen Hours,1951,Film Noir,USA
Milagro en Roma,1988,Drama,COLOMBIA
The World Owes Me A Living,1945,Drama,UK
In the Region of Ice,1976,Short,USA
Trilogy,1969,Drama,USA
322,1969,Drama,CZECHOSLOVAKIA
Verhängnis,1994,Drama,GERMANY
Heatseeker,1995,Action,USA
Baby Face Nelson,1996,Action,USA
Pretty Boy Floyd,1960,Biography,USA
Cyrano de Bergerac,1974,Theatre,USA
On The Bridge,1992,Documentary,USA
Le tresor des iles chiennes,1990,Cult,FRANCE
Aldrich Ames: Traitor Within,1998,TV Movie,USA
The Scenic Route,1978,Drama,USA
Ticket to Jerusalem,2002,Documentary,AUSTRALIA
Amici miei,1975,Comedy,ITALY
Melancholia,1989,Thriller,UK
Dankon: The Man,1998,Erotic,JAPAN
Polynimurikauppiaat,1993,Documentary,FINLAND
Uova di garofano,1991,Drama,ITALY
Costa Brava,1995,Comedy,SPAIN
Pneuma,1983,Experimental,USA
"Du Barry, Woman of Passion",1930,Pre Code,USA
The American Success Company,1980,Comedy,USA
A Summer Discord,1955,Short,UK
A State of Siege,1978,Drama,NEW
Flavio,1964,Documentary,USA
A Ilha dos Amores,1982,Biography,PORTUGAL
La chair de l’orchidée,1975,Neo-Noir,FRANCE
D’ici là,1997,Experimental,FRANCE
Fires in the Mirror,1993,Television,USA
Harvest of Despair,1984,Documentary,CANADA
Ashita,1995,Drama,JAPAN
Dialogo di un venditore di almanacchi e di un passeggiere,1954,Short,ITALY
Opium,1919,Silent,GERMANY
Bird of Prey,1995,Thriller,BULGARIA
Pasadena Freeway Stills,1974,Experimental,USA
Die Venusfalle,1988,Drama,WEST
Anoop and the Elephant,1972,Family,UK
The Ordeal of Dr. Mudd,1980,Biography,USA
Yajû shisubeshi,1959,Action,JAPAN
A City’s Child,1971,Drama,AUSTRALIA
The Steagle,1971,Comedy,USA
Miles to Go Before I Sleep,1975,TV Movie,USA
Tri,1965,War,YUGOSLAVIA
Un héros très discret,1996,Drama,FRANCE
Sebastian,1968,Drama,UK
Die rote jacke,2002,Short,GERMANY
Most Dangerous Man Alive,1961,Sci-Fi,USA
Pismak,1985,Drama,POLAND
The Big Freeze,1993,Comedy,FINLAND
Yoshiwara,1937,Drama,FRANCE
Orange,1970,Short,USA
Little Treasure,1985,Comedy,USA
Kaki Bakar,1995,Drama,MALAYSIA
A Flash of Green,1984,Drama,USA
Rock-a-bye,1974,Documentary,CANADA
Shiki-Jitsu,2000,Drama,JAPAN
Männer,1985,Comedy,WEST
Stranger at my Door,1991,TV Movie,USA
The Liberation of the Mannique Mechanique,1967,Experimental,USA
"Athina, epistrofi stin Akropoli",1983,Documentary,GREECE
The Spots on My Leopard,1974,Family,SOUTH
Stage to Thunder Rock,1964,Western,USA
Marg Yazdgerd,1982,Drama,IRAN
Jatun auka,1974,Drama,BOLIVIA
Assemblage,1968,Experimental,USA
I Met a Murderer,1939,Thriller,UK
Movies Are My Life: A Profile on Martin Scorsese,1978,Documentary,EPIC
The Mexican Tapes: A Chronicle of Life Outside the Law,1986,Documentary,USA
Yama: Attack to Attack,1985,Documentary,JAPAN
Heroes of Rock and Roll,1979,Documentary,USA
