title,year,genre,country
Battement de coeur,1940,Comedy,FRANCE
Baby Face Nelson,1957,Biography,USA
The Blackout,1997,Drama,FRANCE
The Sea God,1930,Adventure,USA
Gabbeh,1996,Drama,IRAN
The Scarf,1951,Film Noir,USA
Flesh & Blood,1979,TV Movie,USA
Barnaby and Me,1979,TV Movie,AUSTRALIA
The Whistle at Eaton Falls,1951,Drama,USA
Sodbusters,1994,TV Movie,USA
Mr. Peek-a-Boo (1951) [Engli,1951,Comedy,FRANCE
Experience Preferred… But Not Essential,1982,Drama,UK
Coast Guard,1939,Drama,USA
Behind the News,1940,Drama,USA
Odette Robert,1971,Documentary,FRANCE
True to Life,1943,Comedy,USA
The Fabulous Suzanne,1946,Comedy,USA
Paris Underground,1945,Drama,USA
Dédée d’Anvers,1948,Drama,FRANCE
Nero,1992,Comedy,ITALY
Rosaura a las 10,1958,Film Noir,ARGENTINA
Surrender,1931,Pre Code,USA
Dalla nube alla resistenza,1979,Drama,FRANCE
13 Hours by Air,1936,Drama,USA
The Runaways,1975,TV Movie,USA
Law and Disorder,1974,Comedy,USA
La Noia,1963,Drama,ITALY
"20,000 Eyes",1961,Drama,USA
Six-Hundred & Sixty Six,1972,Sci-Fi,USA
A Reason to Live,1976,Experimental,USA
La femme de chambre du Titanic,1997,Drama,FRANCE
"Attention, les Enfants Regardent",1978,Thriller,FRANCE
Dangerous Intruder,1945,Film Noir,USA
Strangers Kiss,1983,Drama,USA
"Another Time, Another Place",1983,Drama,UK
The Marriage of a Young Stockbroker,1971,Comedy,USA
The Bachelor Party,1957,Drama,USA
M,1951,Film Noir,USA
Lady Bodyguard,1943,Comedy,USA
An Unsuitable Job for a Woman,1982,Thriller,UK
Maine-Océan,1986,Comedy,FRANCE
Vysoká zed,1964,Drama,CZECH
La Kermesse héroïque,1935,Comedy,FRANCE
Twin Beds,1942,Comedy,USA
Pardon My French,1951,Comedy,USA
Il Profeta,1968,Comedy,ITALY
Artie Shaw: Time Is All You’ve Got,1985,Documentary,CANADA
"Watch it, Sailor!",1961,Comedy,UK
Kazetachi no gogo,1980,Drama,JAPAN
Anjô-ke no butôkai,1947,Drama,JAPAN
Tabiate bijan,1974,Drama,IRAN
Darò un milione,1935,Comedy,ITALY
She Married Her Boss,1935,Comedy,USA
Hai shang hua,1998,Drama,TAIWAN
Wild is the Wind,1957,Drama,USA
Two Deaths,1995,Drama,UK
Der starke Ferdinand,1976,Drama,WEST
Occupe-toi d’Amelie!,1949,Comedy,FRANCE
Funnyman,1967,Comedy,USA
Under-Cover Man,1932,Pre Code,USA
Abducted,1986,Thriller,USA
48 Hours to Live,1959,Mystery,SWEDEN
De Noorderlingen,1992,Comedy,NETHERLANDS
The Come On,1956,Film Noir,USA
Mahoney’s Last Stand,1972,Drama,CANADA
The Lollipop Cover,1965,Drama,USA
Saintly Sinners,1962,Comedy,USA
Sbatti il mostro in prima pagina,1972,Politics,ITALY
"Extérieur, nuit",1980,Drama,FRANCE
A Name for Evil,1973,Horror,USA
Antonia and Jane,1990,Drama,UK
"Gaily, Gaily",1969,Comedy,USA
Daddy Long Legs,1931,Pre Code,USA
Transport z ráje,1962,Drama,CZECH
Dr. Caligari,1989,Cult,USA
Middle Age Crazy,1980,Comedy,CANADA
Hearts Adrift,1996,TV Movie,USA
A Grande Arte,1991,Thriller,BRAZIL
Damien,1978,TV Movie,USA
Out of Darkness,1994,TV Movie,USA
Le passe-muraille,1951,Comedy,FRANCE
The Age of Insects,1990,Comedy,USA
The Vanishing American,1955,Western,USA
The Secret of Blood Island,1965,War,UK
The Scoundrel,1935,Drama,USA
The Savage Horde,1950,Western,USA
The Oracle,1953,Comedy,UK
The Mark of the Whistler,1944,Film Noir,USA
The Crazy World of Julius Vrooder,1974,Comedy,USA
The 13th Letter,1951,Film Noir,USA
Sailor’s Luck,1933,Pre Code,USA
Night Club Scandal,1937,Thriller,USA
Moulin Rouge,1934,Musical,USA
Beyond the Blue Horizon,1942,Adventure,USA
Always the Innocent,1972,Thriller,USA
The Lady’s from Kentucky,1939,Drama,USA
The Kansas City Massacre,1975,TV Movie,USA
John Ford by Lindsay Anderson,1992,Documentary,UK
"Gli uomini, che mascalzoni…",1932,Comedy,ITALY
The Legend of Sleepy Hollow,1999,Horror,CANADA
The Making of an Englishman,1995,Documentary,UK
The Lucky Stiff,1949,Drama,USA
The Night the City Screamed,1980,TV Movie,USA
The Passover Plot,1976,Drama,ISRAEL
The Pigeon That Took Rome,1962,Comedy,USA
The Secret Night Caller,1975,TV Movie,USA
The Wife Takes a Flyer,1942,Comedy,USA
This Is the Night,1932,Pre Code,USA
To Sleep with a Vampire,1993,Erotic,USA
Tropic Holiday,1938,Musical,USA
Un borghese piccolo piccolo,1977,Comedy,ITALY
Un nommé La Rocca,1961,Thriller,FRANCE
Whitewater Sam,1982,Adventure,USA
Woman Trap,1929,Drama,USA
The Highroller,1984,TV Movie,CANADA
The Glass Key,1935,Film Noir,USA
The Great Gambini,1937,Mystery,USA
The Fringe Dwellers,1986,Drama,AUSTRALIA
The Crowning Experience,1960,Biography,USA
The Crime of the Century,1933,Pre Code,USA
The Bliss of Mrs. Blossom,1968,Comedy,UK
The Black Watch,1929,Adventure,USA
That Certain Feeling,1956,Comedy,USA
Szürkület,1990,Mystery,HUNGARY
"Suddenly, It’s Spring",1947,Comedy,USA
Stuckey’s Last Stand,1980,Comedy,USA
Storia di Piera,1983,Biography,ITALY
Spirit of Youth,1938,Drama,USA
Sorelle Materassi,1944,Comedy,ITALY
Something to Shout About,1943,Musical,USA
Somebody’s Daughter,1992,TV Movie,USA
Soft Fruit,1999,Drama,AUSTRALIA
Signore & signori,1966,Comedy,ITALY
She Loves Me Not,1934,Comedy,USA
Self Defense,1983,Action,CANADA
Se io fossi onesto,1942,Comedy,ITALY
Sailor’s Lady,1940,Comedy,USA
Reprisal!,1956,Western,USA
Ready for Love,1934,Drama,USA
Rattlesnake in a Cooler,1982,TV Movie,USA
Providence,1977,Drama,FRANCE
Port of Hell,1954,Drama,USA
…One Third of a Nation…,1939,Drama,USA
Nogiku no gotoki kimi nariki,1955,Drama,JAPAN
No Place Like Home,1989,TV Movie,USA
Night After Night After Night,1969,Horror,UK
New York Town,1941,Comedy,USA
Never Trust a Gambler,1951,Film Noir,USA
Nero Wolfe,1979,TV Movie,USA
Mystery at Castle House,1982,Family,AUSTRALIA
Mysterious Castles of Clay,1978,Documentary,USA
My Daughter Joy,1950,Drama,UK
Murder in Times Square,1943,Thriller,USA
Mule Feathers,1977,Comedy,USA
Me and My Brother,1969,Documentary,USA
Maracaibo,1958,Adventure,USA
Les nouveaux messieurs,1929,Silent,FRANCE
La spiaggia,1954,Comedy,ITALY
Le parfum de la Dame en Noir,1931,Mystery,FRANCE
Lady of Vengeance,1957,Drama,UK
La Marie du port,1950,Drama,FRANCE
L’Invitation,1973,Comedy,SWITZERLAND
King of Chinatown,1939,Drama,USA
Kiiroi karasu,1957,Drama,JAPAN
Johnny Rocco,1958,Film Noir,USA
Jamaica Run,1953,Adventure,USA
I grandi magazzini,1939,Comedy,ITALY
Home at Last,1988,TV Movie,USA
Generation,1969,Comedy,USA
‘Fun on a Week-End’,1947,Comedy,USA
Fright,1956,Film Noir,USA
Ferry Cross the Mersey,1964,Musical,UK
Feng gui lai de ren,1983,Drama,TAIWAN
Fear on Trial,1975,TV Movie,USA
Attica,1980,TV Movie,USA
"20,000 Men a Year",1939,Drama,USA
1. April 2000,1952,Comedy,AUSTRIA
Visions of Light,1992,Documentary,USA
Tribute,1980,Comedy,CANADA
The Well,1951,Film Noir,USA
The Madonna’s Secret,1946,Film Noir,USA
Shônen,1969,Drama,JAPAN
Shiiku,1961,Drama,JAPAN
She Couldn’t Take It,1935,Comedy,USA
Secrets,1971,Drama,UK
Rise and Shine,1941,Musical,USA
Ohikkoshi,1993,Drama,JAPAN
Nouvelle Vague,1990,Drama,FRANCE
Nazareno Cruz y el lobo,1975,Drama,ARGENTINA
Musashino fujin,1951,Drama,JAPAN
Megáll az idö,1982,Drama,HUNGARY
Manhandled,1949,Film Noir,USA
Les jeux de la Comtesse Dolingen de Gratz,1981,Drama,FRANCE
Les rendez-vous de Paris,1995,Drama,FRANCE
La più bella serata della mia vita,1972,Comedy,ITALY
La fille de 15 ans,1989,Drama,FRANCE
L’auberge rouge,1923,Silent,FRANCE
L’Aigle à Deux Têtes,1948,Drama,FRANCE
Käre John,1964,Drama,SWEDEN
"Jakob, der Lügner",1975,Drama,CZECHOSLOVAKIA
Invasión,1969,Sci-Fi,ARGENTINA
Il camorrista,1986,Drama,ITALY
Haru no mezame,1947,Drama,JAPAN
"Harry Tracy, Desperado",1982,Western,CANADA
De Aanslag,1986,Drama,NETHERLANDS
Chinatown Nights,1929,Action,USA
Aerograd,1935,Drama,USSR
Abismos de Pasión,1954,Drama,MEXICO
"‘Non’, ou A Vã Glória de Mandar",1990,War,FRANCE
